"","Ronda01","Ronda02","Ronda03","Ronda04","Ronda05","Ronda06","Ronda07","Ronda08","Ronda09","Ronda10","Ronda11","Ronda12","Ronda13","Ronda14","Ronda15","Ronda16","Ronda17","Ronda18","Ronda19","Ronda20","Ronda21","Ronda22","Ronda23","Ronda24","Ronda25","Ronda26","Ronda27","Ronda28","Ronda29","Ronda30"
"Reshevsky",0.5,1,1.5,2.5,3.5,4.5,5,6,6.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smyslov",0.5,1,2,3,3.5,4,5,5,6,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Najdorf",0.5,1,1.5,2.5,2.5,3.5,4,4.5,4.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euwe",1,2,2,2.5,2.5,3,3.5,4.5,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Keres",0.5,0.5,1.5,2,3,4,4.5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bronstein",1,1.5,2,2.5,2.5,3,3.5,4,4.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boleslavsky",0.5,0.5,1.5,2.5,3,3,3.5,4,4.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Petrosian",0.5,1,1.5,2,2,2,2,2.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taimanov",0,0.5,0.5,0.5,1.5,2.5,3,3,4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gligoric",0,0.5,1,1.5,2.5,2.5,3,4,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Szabo",0,0.5,0.5,0.5,1.5,2.5,3,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Geller",1,1,1.5,1.5,2,2,2,2.5,3,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Averbaj",0.5,1.5,2,2.5,2.5,2.5,3,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kotov",0,0,0,0,0.5,1,1.5,1.5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stahlberg",0.5,1.5,2,2,2,2,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
